KO,Gene
ko:K02477,BareSoil-2.bin.11-k141_4566239_28
ko:K21395,BareSoil-2.bin.11-k141_4566239_54
ko:K01728,BareSoil-2.bin.11-k141_2508196_20
ko:K06218,BareSoil-2.bin.11-k141_2800099_10
ko:K03529,BareSoil-2.bin.11-k141_2950645_17
ko:K03980,BareSoil-2.bin.11-k141_665511_1
ko:K08305,BareSoil-2.bin.11-k141_888445_14
ko:K01576,BareSoil-2.bin.11-k141_2800779_9
ko:K17760,BareSoil-2.bin.11-k141_2800779_10
ko:K02106,BareSoil-2.bin.11-k141_2800779_25
ko:K07263,BareSoil-2.bin.11-k141_2363082_2
ko:K03578,BareSoil-2.bin.11-k141_1773976_11
ko:K01239,BareSoil-2.bin.11-k141_524606_13
ko:K00797,BareSoil-2.bin.11-k141_3029401_1
ko:K03980,BareSoil-2.bin.11-k141_526801_3
ko:K07478,BareSoil-2.bin.11-k141_526801_14
ko:K12262,BareSoil-2.bin.11-k141_526801_18
ko:K17760,BareSoil-2.bin.11-k141_526801_21
ko:K07062,BareSoil-2.bin.11-k141_2803489_6
ko:K11936,BareSoil-2.bin.11-k141_3835097_13
ko:K11935,BareSoil-2.bin.11-k141_3835097_15
ko:K17760,BareSoil-2.bin.11-k141_1704884_2
ko:K17760,BareSoil-2.bin.11-k141_1704884_21
ko:K02356,BareSoil-2.bin.11-k141_3541027_4
ko:K11754,BareSoil-2.bin.11-k141_3541027_13
ko:K03269,BareSoil-2.bin.11-k141_3541027_18
ko:K00748,BareSoil-2.bin.11-k141_972523_10
ko:K00820,BareSoil-2.bin.11-k141_1185333_40
ko:K04042,BareSoil-2.bin.11-k141_1185333_41
ko:K04343,BareSoil-2.bin.11-k141_237234_10
ko:K06910,BareSoil-2.bin.11-k141_237234_30
ko:K03586,BareSoil-2.bin.11-k141_1856744_4
ko:K07056,BareSoil-2.bin.11-k141_1780261_2
ko:K06187,BareSoil-2.bin.11-k141_3983859_18
ko:K11688,BareSoil-2.bin.11-k141_3983859_42
ko:K21395,BareSoil-2.bin.11-k141_3983859_42
ko:K17760,BareSoil-2.bin.11-k141_817727_9
ko:K02837,BareSoil-2.bin.11-k141_2080737_3
ko:K06861,BareSoil-2.bin.11-k141_4069998_12
ko:K00151,BareSoil-2.bin.11-k141_4070687_7
ko:K01214,BareSoil-2.bin.11-k141_4070687_11
ko:K00809,BareSoil-2.bin.11-k141_4070687_29
ko:K06910,BareSoil-2.bin.11-k141_536923_8
ko:K00556,BareSoil-2.bin.11-k141_536923_17
ko:K07221,BareSoil-2.bin.11-k141_2305490_4
ko:K00619,BareSoil-2.bin.11-k141_2305490_19
ko:K02258,BareSoil-2.bin.11-k141_3618984_16
ko:K09810,BareSoil-2.bin.11-k141_98490_25
ko:K07126,BareSoil-2.bin.11-k141_3545742_68
ko:K00163,BareSoil-2.bin.11-k141_2455507_3
ko:K21472,BareSoil-2.bin.11-k141_2455507_43
ko:K03786,BareSoil-2.bin.11-k141_2155564_10
ko:K09990,BareSoil-2.bin.11-k141_3252594_13
ko:K00928,BareSoil-2.bin.11-k141_3252594_14
ko:K01790,BareSoil-2.bin.11-k141_2884869_2
ko:K02895,BareSoil-2.bin.11-k141_2090891_15
ko:K00406,BareSoil-2.bin.11-k141_2312016_1
ko:K07020,BareSoil-2.bin.11-k141_4652535_35
ko:K00797,BareSoil-2.bin.11-k141_4652535_49
ko:K09710,BareSoil-2.bin.11-k141_3328233_3
ko:K00969,BareSoil-2.bin.11-k141_3328233_4
ko:K01356,BareSoil-2.bin.11-k141_3549707_11
ko:K14161,BareSoil-2.bin.11-k141_3549707_13
ko:K02453,BareSoil-2.bin.11-k141_3549707_18
ko:K02453,BareSoil-2.bin.11-k141_3549707_19
ko:K03466,BareSoil-2.bin.11-k141_3549707_26
ko:K09159,BareSoil-2.bin.11-k141_2316811_32
ko:K02453,BareSoil-2.bin.11-k141_3845265_9
ko:K02302,BareSoil-2.bin.11-k141_3845265_24
ko:K13634,BareSoil-2.bin.11-k141_3845265_25
ko:K07560,BareSoil-2.bin.11-k141_992833_4
ko:K01755,BareSoil-2.bin.11-k141_992833_16
ko:K02450,BareSoil-2.bin.11-k141_992833_32
ko:K07357,BareSoil-2.bin.11-k141_2163573_25
ko:K07358,BareSoil-2.bin.11-k141_2163573_25
ko:K13634,BareSoil-2.bin.11-k141_2677393_1
ko:K01665,BareSoil-2.bin.11-k141_996149_5
ko:K17837,BareSoil-2.bin.11-k141_2165401_1
ko:K00343,BareSoil-2.bin.11-k141_2165401_15
ko:K02427,BareSoil-2.bin.11-k141_2165401_33
ko:K00481,BareSoil-2.bin.11-k141_1341400_22
ko:K03554,BareSoil-2.bin.11-k141_1802598_4
ko:K08983,BareSoil-2.bin.11-k141_1802598_6
ko:K06199,BareSoil-2.bin.11-k141_1802598_15
ko:K09810,BareSoil-2.bin.11-k141_1343481_7
ko:K07062,BareSoil-2.bin.11-k141_562291_1
ko:K03980,BareSoil-2.bin.11-k141_564725_1
ko:K17837,BareSoil-2.bin.11-k141_20620_4
ko:K01007,BareSoil-2.bin.11-k141_474530_38
ko:K06920,BareSoil-2.bin.11-k141_2744186_1
ko:K07263,BareSoil-2.bin.11-k141_1419827_5
ko:K02835,BareSoil-2.bin.11-k141_21746_2
ko:K00285,BareSoil-2.bin.11-k141_21746_10
ko:K03635,BareSoil-2.bin.11-k141_2745117_25
ko:K00311,BareSoil-2.bin.11-k141_2745117_46
ko:K03981,BareSoil-2.bin.11-k141_2745117_49
ko:K21472,BareSoil-2.bin.11-k141_4443801_17
ko:K00451,BareSoil-2.bin.11-k141_4443801_42
ko:K19592,BareSoil-2.bin.11-k141_4443801_72
ko:K06152,BareSoil-2.bin.11-k141_3340317_19
ko:K07065,BareSoil-2.bin.11-k141_275414_2
ko:K02517,BareSoil-2.bin.11-k141_2338438_8
ko:K02517,BareSoil-2.bin.11-k141_2338438_9
ko:K17760,BareSoil-2.bin.11-k141_2044676_3
ko:K00945,BareSoil-2.bin.11-k141_3266525_3
ko:K16011,BareSoil-2.bin.11-k141_4665618_9
ko:K17760,BareSoil-2.bin.11-k141_3856795_40
ko:K07343,BareSoil-2.bin.11-k141_2603595_7
ko:K00383,BareSoil-2.bin.11-k141_2603595_13
ko:K03980,BareSoil-2.bin.11-k141_2603595_14
ko:K04066,BareSoil-2.bin.11-k141_2603595_31
ko:K00266,BareSoil-2.bin.11-k141_2603595_47
ko:K00265,BareSoil-2.bin.11-k141_2603595_48
ko:K00284,BareSoil-2.bin.11-k141_2603595_48
ko:K08316,BareSoil-2.bin.11-k141_2603595_55
ko:K00762,BareSoil-2.bin.11-k141_2603595_66
ko:K03980,BareSoil-2.bin.11-k141_2747935_33
ko:K04567,BareSoil-2.bin.11-k141_2048304_6
ko:K01868,BareSoil-2.bin.11-k141_1525037_4
ko:K15727,BareSoil-2.bin.11-k141_3780653_8
ko:K01077,BareSoil-2.bin.11-k141_2903529_11
ko:K03669,BareSoil-2.bin.11-k141_2903529_17
ko:K11688,BareSoil-2.bin.11-k141_3012784_4
ko:K08223,BareSoil-2.bin.11-k141_703733_5
ko:K02619,BareSoil-2.bin.11-k141_703733_47
ko:K02459,BareSoil-2.bin.11-k141_703733_55
ko:K02462,BareSoil-2.bin.11-k141_703733_58
ko:K02463,BareSoil-2.bin.11-k141_703733_59
ko:K13543,BareSoil-2.bin.11-k141_2429487_8
ko:K02450,BareSoil-2.bin.11-k141_840342_8
ko:K07263,BareSoil-2.bin.11-k141_840342_39
ko:K07263,BareSoil-2.bin.11-k141_840342_40
ko:K00786,BareSoil-2.bin.11-k141_4595637_2
ko:K08305,BareSoil-2.bin.11-k141_4595637_2
ko:K01790,BareSoil-2.bin.11-k141_956832_4
ko:K03613,BareSoil-2.bin.11-k141_4233984_24
ko:K17225,BareSoil-2.bin.11-k141_2244663_6
ko:K16092,BareSoil-2.bin.11-k141_2244663_43
ko:K01801,BareSoil-2.bin.11-k141_2244663_61
ko:K09696,BareSoil-2.bin.11-k141_1432865_4
ko:K07447,BareSoil-2.bin.11-k141_1543363_2
ko:K01920,BareSoil-2.bin.11-k141_1543363_5
ko:K03806,BareSoil-2.bin.11-k141_1543363_13
ko:K00793,BareSoil-2.bin.11-k141_36630_3
ko:K14652,BareSoil-2.bin.11-k141_36630_4
ko:K06910,BareSoil-2.bin.11-k141_3206099_36
ko:K02113,BareSoil-2.bin.11-k141_1091342_14
ko:K18030,BareSoil-2.bin.11-k141_3208714_10
ko:K02462,BareSoil-2.bin.11-k141_1377186_8
ko:K02459,BareSoil-2.bin.11-k141_1377186_11
ko:K02458,BareSoil-2.bin.11-k141_1377186_12
ko:K08305,BareSoil-2.bin.11-k141_4691234_10
ko:K02377,BareSoil-2.bin.11-k141_643404_9
ko:K01918,BareSoil-2.bin.11-k141_643404_28
ko:K02339,BareSoil-2.bin.11-k141_643404_40
ko:K07183,BareSoil-2.bin.11-k141_858924_12
ko:K06976,BareSoil-2.bin.11-k141_858924_43
ko:K01817,BareSoil-2.bin.11-k141_1170076_2
ko:K01609,BareSoil-2.bin.11-k141_1170076_3
ko:K00027,BareSoil-2.bin.11-k141_209774_6
ko:K06181,BareSoil-2.bin.11-k141_209774_11
ko:K01214,BareSoil-2.bin.11-k141_4259471_30
ko:K07798,BareSoil-2.bin.11-k141_354348_5
ko:K09780,BareSoil-2.bin.11-k141_354348_18
ko:K09117,BareSoil-2.bin.11-k141_1396154_3
ko:K03529,BareSoil-2.bin.11-k141_67518_1
ko:K16011,BareSoil-2.bin.12-k141_4417772_3
ko:K16092,BareSoil-2.bin.12-k141_2798802_1
ko:K02668,BareSoil-2.bin.12-k141_738448_4
ko:K14652,BareSoil-2.bin.12-k141_2653247_1
ko:K05351,BareSoil-2.bin.12-k141_1701024_3
ko:K21702,BareSoil-2.bin.12-k141_1701024_4
ko:K00939,BareSoil-2.bin.12-k141_1997654_2
ko:K00945,BareSoil-2.bin.12-k141_1703139_2
ko:K02356,BareSoil-2.bin.12-k141_2295244_1
ko:K03786,BareSoil-2.bin.12-k141_2295244_2
ko:K00762,BareSoil-2.bin.12-k141_2959576_5
ko:K07164,BareSoil-2.bin.12-k141_2371197_1
ko:K01918,BareSoil-2.bin.12-k141_531450_3
ko:K01007,BareSoil-2.bin.12-k141_531450_7
ko:K08316,BareSoil-2.bin.12-k141_2007700_3
ko:K02841,BareSoil-2.bin.12-k141_157232_6
ko:K04065,BareSoil-2.bin.12-k141_4501439_2
ko:K07140,BareSoil-2.bin.12-k141_3174780_8
ko:K00294,BareSoil-2.bin.12-k141_2380419_4
ko:K07343,BareSoil-2.bin.12-k141_2154885_4
ko:K07478,BareSoil-2.bin.12-k141_4575242_5
ko:K19585,BareSoil-2.bin.12-k141_542097_2
ko:K03366,BareSoil-2.bin.12-k141_542097_5
ko:K09810,BareSoil-2.bin.12-k141_908680_1
ko:K04042,BareSoil-2.bin.12-k141_305879_5
ko:K16786,BareSoil-2.bin.12-k141_1279692_1
ko:K16787,BareSoil-2.bin.12-k141_1279692_1
ko:K04066,BareSoil-2.bin.12-k141_544524_8
ko:K00748,BareSoil-2.bin.12-k141_2589647_4
ko:K02849,BareSoil-2.bin.12-k141_1055905_1
ko:K02453,BareSoil-2.bin.12-k141_1055905_2
ko:K03151,BareSoil-2.bin.12-k141_3712578_3
ko:K05554,BareSoil-2.bin.12-k141_3712578_4
ko:K15886,BareSoil-2.bin.12-k141_3712578_4
ko:K08999,BareSoil-2.bin.12-k141_2093227_12
ko:K01007,BareSoil-2.bin.12-k141_3107979_1
ko:K15986,BareSoil-2.bin.12-k141_1287190_6
ko:K00928,BareSoil-2.bin.12-k141_1560777_2
ko:K02113,BareSoil-2.bin.12-k141_1877874_4
ko:K04042,BareSoil-2.bin.12-k141_2099824_6
ko:K00820,BareSoil-2.bin.12-k141_2099824_7
ko:K21947,BareSoil-2.bin.12-k141_997540_3
ko:K06181,BareSoil-2.bin.12-k141_2890336_4
ko:K07263,BareSoil-2.bin.12-k141_2679959_1
ko:K02619,BareSoil-2.bin.12-k141_1931414_1
ko:K01007,BareSoil-2.bin.12-k141_3995317_5
ko:K06990,BareSoil-2.bin.12-k141_2104066_5
ko:K00343,BareSoil-2.bin.12-k141_925198_2
ko:K00311,BareSoil-2.bin.12-k141_4093465_5
ko:K17225,BareSoil-2.bin.12-k141_3628788_12
ko:K02462,BareSoil-2.bin.12-k141_928145_3
ko:K01077,BareSoil-2.bin.12-k141_2228511_6
ko:K02475,BareSoil-2.bin.12-k141_268646_5
ko:K11615,BareSoil-2.bin.12-k141_268646_5
ko:K11692,BareSoil-2.bin.12-k141_268646_5
ko:K06861,BareSoil-2.bin.12-k141_1419641_7
ko:K06181,BareSoil-2.bin.12-k141_567309_2
ko:K02021,BareSoil-2.bin.12-k141_567309_4
ko:K00762,BareSoil-2.bin.12-k141_111763_1
ko:K07000,BareSoil-2.bin.12-k141_2482385_2
ko:K00789,BareSoil-2.bin.12-k141_2482385_5
ko:K09710,BareSoil-2.bin.12-k141_1736889_2
ko:K00969,BareSoil-2.bin.12-k141_1736889_3
ko:K07285,BareSoil-2.bin.12-k141_4296275_9
ko:K02668,BareSoil-2.bin.12-k141_1737906_4
ko:K02453,BareSoil-2.bin.12-k141_2045228_2
ko:K16923,BareSoil-2.bin.12-k141_617355_1
ko:K00343,BareSoil-2.bin.12-k141_617355_3
ko:K06872,BareSoil-2.bin.12-k141_4003607_1
ko:K02619,BareSoil-2.bin.12-k141_1899097_1
ko:K01665,BareSoil-2.bin.12-k141_1899097_2
ko:K07263,BareSoil-2.bin.12-k141_1899097_7
ko:K07126,BareSoil-2.bin.12-k141_3120640_1
ko:K01755,BareSoil-2.bin.12-k141_1207220_5
ko:K07560,BareSoil-2.bin.12-k141_618834_5
ko:K03980,BareSoil-2.bin.12-k141_618834_7
ko:K19585,BareSoil-2.bin.12-k141_4005802_1
ko:K03087,BareSoil-2.bin.12-k141_4122273_1
ko:K06181,BareSoil-2.bin.12-k141_3126559_3
ko:K14048,BareSoil-2.bin.12-k141_3018224_2
ko:K14048,BareSoil-2.bin.12-k141_3018224_3
ko:K02233,BareSoil-2.bin.12-k141_4234146_3
ko:K01817,BareSoil-2.bin.12-k141_4601437_1
ko:K01609,BareSoil-2.bin.12-k141_4601437_2
ko:K02422,BareSoil-2.bin.12-k141_3870146_6
ko:K02407,BareSoil-2.bin.12-k141_3870146_7
ko:K02438,BareSoil-2.bin.12-k141_4242136_1
ko:K00265,BareSoil-2.bin.12-k141_850804_1
ko:K04127,BareSoil-2.bin.12-k141_4539666_4
ko:K10700,BareSoil-2.bin.12-k141_3880213_14
ko:K16964,BareSoil-2.bin.12-k141_3880213_14
ko:K07798,BareSoil-2.bin.12-k141_641233_2
ko:K15727,BareSoil-2.bin.12-k141_641233_2
ko:K06187,BareSoil-2.bin.12-k141_2627435_3
ko:K00786,BareSoil-2.bin.12-k141_3213601_3
ko:K03529,BareSoil-2.bin.12-k141_1593346_1
ko:K04567,BareSoil-2.bin.12-k141_202986_2
ko:K09810,BareSoil-2.bin.12-k141_202986_4
ko:K00793,BareSoil-2.bin.12-k141_4618813_6
ko:K05341,BareSoil-2.bin.12-k141_2856250_2
ko:K06910,BareSoil-2.bin.12-k141_2926670_3
ko:K06910,BareSoil-2.bin.12-k141_2926670_4
ko:K15727,BareSoil-2.bin.12-k141_1690851_1
ko:K04065,BareSoil-2.bin.12-k141_3304349_3
ko:K01879,BareSoil-2.bin.12-k141_2782924_3
ko:K05802,BareSoil-2.bin.12-k141_1462153_1
ko:K11070,BareSoil-2.bin.13-k141_2356589_4
ko:K08983,BareSoil-2.bin.13-k141_2503906_11
ko:K15257,BareSoil-2.bin.13-k141_2356829_11
ko:K07126,BareSoil-2.bin.13-k141_2946199_1
ko:K02302,BareSoil-2.bin.13-k141_2062674_8
ko:K01447,BareSoil-2.bin.13-k141_1696219_23
ko:K03806,BareSoil-2.bin.13-k141_1696219_23
ko:K00928,BareSoil-2.bin.13-k141_2873452_3
ko:K08484,BareSoil-2.bin.13-k141_2873452_4
ko:K02835,BareSoil-2.bin.13-k141_2873452_6
ko:K02278,BareSoil-2.bin.13-k141_519720_1
ko:K02280,BareSoil-2.bin.13-k141_519720_3
ko:K02053,BareSoil-2.bin.13-k141_4054687_4
ko:K09930,BareSoil-2.bin.13-k141_2361415_10
ko:K10439,BareSoil-2.bin.13-k141_229375_3
ko:K10553,BareSoil-2.bin.13-k141_229375_4
ko:K08304,BareSoil-2.bin.13-k141_3538239_4
ko:K02029,BareSoil-2.bin.13-k141_3390251_9
ko:K02029,BareSoil-2.bin.13-k141_3390251_10
ko:K02188,BareSoil-2.bin.13-k141_1329360_6
ko:K02302,BareSoil-2.bin.13-k141_1329360_7
ko:K02303,BareSoil-2.bin.13-k141_1329360_7
ko:K01868,BareSoil-2.bin.13-k141_1329360_25
ko:K01214,BareSoil-2.bin.13-k141_3244685_13
ko:K11070,BareSoil-2.bin.13-k141_4128376_8
ko:K06923,BareSoil-2.bin.13-k141_2368806_6
ko:K07343,BareSoil-2.bin.13-k141_741819_7
ko:K10439,BareSoil-2.bin.13-k141_741819_11
ko:K01356,BareSoil-2.bin.13-k141_670068_2
ko:K01609,BareSoil-2.bin.13-k141_670068_7
ko:K01755,BareSoil-2.bin.13-k141_2147102_26
ko:K03635,BareSoil-2.bin.13-k141_236865_3
ko:K10697,BareSoil-2.bin.13-k141_2077584_6
ko:K09823,BareSoil-2.bin.13-k141_89996_2
ko:K02431,BareSoil-2.bin.13-k141_1486548_6
ko:K13481,BareSoil-2.bin.13-k141_2298928_2
ko:K07126,BareSoil-2.bin.13-k141_670825_1
ko:K11754,BareSoil-2.bin.13-k141_3983791_4
ko:K01817,BareSoil-2.bin.13-k141_3983791_8
ko:K10439,BareSoil-2.bin.13-k141_93076_4
ko:K03802,BareSoil-2.bin.13-k141_2523075_3
ko:K05351,BareSoil-2.bin.13-k141_2664422_1
ko:K21702,BareSoil-2.bin.13-k141_2664422_2
ko:K00046,BareSoil-2.bin.13-k141_2664422_4
ko:K07577,BareSoil-2.bin.13-k141_2083017_7
ko:K07447,BareSoil-2.bin.13-k141_2966835_5
ko:K03466,BareSoil-2.bin.13-k141_537883_2
ko:K13638,BareSoil-2.bin.13-k141_2453555_18
ko:K09117,BareSoil-2.bin.13-k141_538373_3
ko:K11070,BareSoil-2.bin.13-k141_1631633_4
ko:K02431,BareSoil-2.bin.13-k141_2085825_2
ko:K00265,BareSoil-2.bin.13-k141_3709832_1
ko:K07126,BareSoil-2.bin.13-k141_1496916_3
ko:K13582,BareSoil-2.bin.13-k141_1496916_3
ko:K01356,BareSoil-2.bin.13-k141_4505437_19
ko:K10439,BareSoil-2.bin.13-k141_384973_2
ko:K11070,BareSoil-2.bin.13-k141_384973_5
ko:K02053,BareSoil-2.bin.13-k141_3045312_1
ko:K11070,BareSoil-2.bin.13-k141_3045312_1
ko:K02029,BareSoil-2.bin.13-k141_3045312_7
ko:K02029,BareSoil-2.bin.13-k141_3045312_8
ko:K00868,BareSoil-2.bin.13-k141_2813441_16
ko:K10439,BareSoil-2.bin.13-k141_456572_1
ko:K00945,BareSoil-2.bin.13-k141_1559392_2
ko:K00820,BareSoil-2.bin.13-k141_1873063_3
ko:K02053,BareSoil-2.bin.13-k141_605380_9
ko:K02029,BareSoil-2.bin.13-k141_3550253_10
ko:K02459,BareSoil-2.bin.13-k141_552165_12
ko:K17675,BareSoil-2.bin.13-k141_4215554_5
ko:K09883,BareSoil-2.bin.13-k141_4215554_9
ko:K13895,BareSoil-2.bin.13-k141_1638975_1
ko:K06187,BareSoil-2.bin.13-k141_1638975_11
ko:K03395,BareSoil-2.bin.13-k141_1638975_13
ko:K13485,BareSoil-2.bin.13-k141_4215693_3
ko:K01487,BareSoil-2.bin.13-k141_4215693_4
ko:K07447,BareSoil-2.bin.13-k141_826093_19
ko:K09970,BareSoil-2.bin.13-k141_3937254_5
ko:K07050,BareSoil-2.bin.13-k141_3937254_10
ko:K01560,BareSoil-2.bin.13-k141_3937254_13
ko:K17324,BareSoil-2.bin.13-k141_2325364_9
ko:K02444,BareSoil-2.bin.13-k141_2325364_12
ko:K02053,BareSoil-2.bin.13-k141_4438645_1
ko:K00786,BareSoil-2.bin.13-k141_3480946_3
ko:K08305,BareSoil-2.bin.13-k141_3480946_3
ko:K01792,BareSoil-2.bin.13-k141_3480946_4
ko:K08305,BareSoil-2.bin.13-k141_3480946_4
ko:K02057,BareSoil-2.bin.13-k141_2227143_18
ko:K02057,BareSoil-2.bin.13-k141_2227143_19
ko:K19746,BareSoil-2.bin.13-k141_2227143_36
ko:K12372,BareSoil-2.bin.13-k141_2227143_41
ko:K01868,BareSoil-2.bin.13-k141_1729267_15
ko:K17722,BareSoil-2.bin.13-k141_3629560_6
ko:K17723,BareSoil-2.bin.13-k141_3629560_7
ko:K02029,BareSoil-2.bin.13-k141_2172425_1
ko:K00285,BareSoil-2.bin.13-k141_20136_14
ko:K10439,BareSoil-2.bin.13-k141_1066076_15
ko:K09810,BareSoil-2.bin.13-k141_2332346_18
ko:K11070,BareSoil-2.bin.13-k141_2229963_7
ko:K09967,BareSoil-2.bin.13-k141_1807411_15
ko:K07126,BareSoil-2.bin.13-k141_4147831_17
ko:K07346,BareSoil-2.bin.13-k141_2600713_1
ko:K00285,BareSoil-2.bin.13-k141_4586922_2
ko:K07346,BareSoil-2.bin.13-k141_2337954_1
ko:K02299,BareSoil-2.bin.13-k141_1347714_3
